CDA	http://cdamdmi/allergy-type		Condition (IF True)	http://cda/conceptmap/allergy-type		HL7 FHIR	http://hl7.org/fhir/ValueSet/allergy-intolerance-type				Comments
Code	Text	Code System	Computable ANTLR	Computable FHIRPath	Narrative	Code		Display	Code System		
419199007	Allergy to substance (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				allergy		Allergy	http://hl7.org/fhir/allergy-intolerance-type		
416098002	Drug allergy (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				allergy		Allergy	http://hl7.org/fhir/allergy-intolerance-type		
59037007	Drug intolerance (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		
414285001	Food allergy (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				allergy		Allergy	http://hl7.org/fhir/allergy-intolerance-type		
235719002	Food intolerance (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		
420134006	Propensity to adverse reactions (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		
419511003	Propensity to adverse reactions to drug (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		
418471000	Propensity to adverse reactions to food (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		
418038007	Propensity to adverse reactions to substance (disorder)	2.16.840.1.113883.3.88.12.3221.6.2				intolerance		Intolerance	http://hl7.org/fhir/allergy-intolerance-type		